CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
RABINDRA NATH SINGH,5,MAYURBHANJ,10675,Independent,24,S18,ODISHA,10699,0.93
CHANDRADHWAJ MAJHI,12,NABARANGPUR,28189,Bahujan Samaj Party,716,S18,ODISHA,28905,2.49
PRADEEP KUMAR MAJHI,12,NABARANGPUR,349437,Indian National Congress,1433,S18,ODISHA,350870,30.26
BALABHADRA MAJHI,12,NABARANGPUR,342510,Bharatiya Janata Party,329,S18,ODISHA,342839,29.56
RAMESH CHANDRA MAJHI,12,NABARANGPUR,392481,Biju Janata Dal,23,S18,ODISHA,392504,33.85
NRUSINGHA CHARAN DAS,17,PURI,6259,Bahujan Samaj Party,24,S18,ODISHA,6283,0.55
PINAKI MISRA,17,PURI,537782,Biju Janata Dal,539,S18,ODISHA,538321,47.4
SATYA PRAKASH NAYAK,17,PURI,44599,Indian National Congress,135,S18,ODISHA,44734,3.94
DR SAMBIT PATRA,17,PURI,524504,Bharatiya Janata Party,2103,S18,ODISHA,526607,46.37
JAYAPRAKASH SETHI,17,PURI,5005,Akhil Bharat Hindu Mahasabha,3,S18,ODISHA,5008,0.44
MANDAKINI SETHI,17,PURI,2648,Communist Party of India  (Marxist-Leninist)  (Liberation),3,S18,ODISHA,2651,0.23
RANJAN MISHRA,17,PURI,2311,Communist Party of India (Marxist-Leninist) Red Star,1,S18,ODISHA,2312,0.2
SABYASACHI MOHAPATRA,17,PURI,2485,Kalinga Sena,2,S18,ODISHA,2487,0.22
NALINI KANTA PRADHAN,3,SAMBALPUR,464063,Biju Janata Dal,545,S18,ODISHA,464608,41.32
NITESH GANGA DEB,3,SAMBALPUR,471382,Bharatiya Janata Party,2388,S18,ODISHA,473770,42.13
MD. MUSTUKIM,3,SAMBALPUR,8157,Bahujan Samaj Party,20,S18,ODISHA,8177,0.73
SARAT PATTANAYAK,3,SAMBALPUR,135672,Indian National Congress,297,S18,ODISHA,135969,12.09
ATMA RAM SUPKAR,3,SAMBALPUR,3787,Pragatishil Samajwadi Party (Lohia),4,S18,ODISHA,3791,0.34
ASHUTOSH KUMAR HANUMAN,3,SAMBALPUR,2053,Bharat Prabhat Party,5,S18,ODISHA,2058,0.18
NABAKISHORE PRADHAN,3,SAMBALPUR,2709,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6,S18,ODISHA,2715,0.24
PRABHAT KUMAR DHARUA,3,SAMBALPUR,2694,Gondvana Gantantra Party,5,S18,ODISHA,2699,0.24
BINAY OCEAN,3,SAMBALPUR,6579,Ambedkarite Party of India,2,S18,ODISHA,6581,0.59
SANTOSHINI KARNA,3,SAMBALPUR,5193,Ambedkar National Congress,4,S18,ODISHA,5197,0.46
KANHU CHARAN SANBAD,3,SAMBALPUR,5432,Independent,2,S18,ODISHA,5434,0.48
GEORGE TIRKEY,2,SUNDARGARH,267672,Indian National Congress,546,S18,ODISHA,268218,24.38
JUAL ORAM,2,SUNDARGARH,498468,Bharatiya Janata Party,1588,S18,ODISHA,500056,45.45
SUNITA BISWAL,2,SUNDARGARH,276710,Biju Janata Dal,281,S18,ODISHA,276991,25.18
JUSTIN LUGUN,2,SUNDARGARH,9516,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8,S18,ODISHA,9524,0.87
DAYANANDA BHITRIA,2,SUNDARGARH,4027,Hindusthan Nirman Dal,0,S18,ODISHA,4027,0.37
BASIL EKKA,2,SUNDARGARH,6605,Aam Aadmi Party,9,S18,ODISHA,6614,0.6
UDIT CHANDRA AMAT,2,SUNDARGARH,6230,Independent,4,S18,ODISHA,6234,0.57
MISS JUSPIN LAKRA,2,SUNDARGARH,14779,Independent,11,S18,ODISHA,14790,1.34
DR. NARAYANASAMY KESAVAN,1,PUDUCHERRY,247844,All India N.R. Congress,112,U07,PUDUCHERRY,247956,31.36
A.G.PATHIMARAJ,1,PUDUCHERRY,2685,Bahujan Samaj Party,4,U07,PUDUCHERRY,2689,0.34
VE. VAITHILINGAM,1,PUDUCHERRY,444646,Indian National Congress,335,U07,PUDUCHERRY,444981,56.27
K.ARUNACHALAM,1,PUDUCHERRY,2199,Agila India Makkal Kazhagam,2,U07,PUDUCHERRY,2201,0.28
DR.M.A.S. SUBRAMANIAN,1,PUDUCHERRY,38046,Makkal Needhi Maiam,22,U07,PUDUCHERRY,38068,4.81
S. THIRUGNANAM,1,PUDUCHERRY,673,Anti Corruption Dynamic Party,1,U07,PUDUCHERRY,674,0.09
BASKARAN.S,1,PUDUCHERRY,1318,Puducherry Development  Party,1,U07,PUDUCHERRY,1319,0.17
MUTHU.U,1,PUDUCHERRY,1285,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0,U07,PUDUCHERRY,1285,0.16
S.MOTHILAL,1,PUDUCHERRY,904,Communist Party of India  (Marxist-Leninist)  (Liberation),1,U07,PUDUCHERRY,905,0.11
N.SHARMILA BEGUM,1,PUDUCHERRY,22842,Naam Tamilar Katchi,15,U07,PUDUCHERRY,22857,2.89
K. RAMADOSS,1,PUDUCHERRY,542,Independent,1,U07,PUDUCHERRY,543,0.07
KRISHNAMURTHY.M,1,PUDUCHERRY,3579,Independent,0,U07,PUDUCHERRY,3579,0.45
THANGAVELU.S,1,PUDUCHERRY,1002,Independent,0,U07,PUDUCHERRY,1002,0.13
N. TAMIZH MARANE,1,PUDUCHERRY,4785,Independent,6,U07,PUDUCHERRY,4791,0.61
TIRAVITAMANKAI@LOURDHUMARY,1,PUDUCHERRY,870,Independent,0,U07,PUDUCHERRY,870,0.11
IMS. BALAJI,1,PUDUCHERRY,2546,Independent,0,U07,PUDUCHERRY,2546,0.32
RAMESH.D,1,PUDUCHERRY,1653,Independent,0,U07,PUDUCHERRY,1653,0.21
V. RAMAMURTHI,1,PUDUCHERRY,641,Independent,1,U07,PUDUCHERRY,642,0.08
HARDEEP SINGH PURI,2,AMRITSAR,344049,Bharatiya Janata Party,1357,S19,PUNJAB,345406,40.19
KULDIP SINGH DHALIWAL,2,AMRITSAR,19800,Aam Aadmi Party,287,S19,PUNJAB,20087,2.34
GURJEET SINGH AUJLA,2,AMRITSAR,444052,Indian National Congress,980,S19,PUNJAB,445032,51.78
DASWINDER KAUR,2,AMRITSAR,16278,Communist Party of India,57,S19,PUNJAB,16335,1.9
SATNAM SINGH,2,AMRITSAR,786,Democratic Party of India (Ambedkar),13,S19,PUNJAB,799,0.09
KAWALJIT SINGH SAHOTA,2,AMRITSAR,733,Bahujan Samaj Party  (Ambedkar),41,S19,PUNJAB,774,0.09
KEWAL KRISHAN,2,AMRITSAR,668,Bahujan Mukti Party,10,S19,PUNJAB,678,0.08
GAGANDEEP KUMAR,2,AMRITSAR,1186,Shivsena,7,S19,PUNJAB,1193,0.14
LAKHWINDER SINGH SIDHU,2,AMRITSAR,1316,Republican Party of India (A),9,S19,PUNJAB,1325,0.15
SARABJIT SINGH,2,AMRITSAR,549,Independent,12,S19,PUNJAB,561,0.07
SHAMSHER SINGH,2,AMRITSAR,508,Independent,6,S19,PUNJAB,514,0.06
SANJEEV KUMAR,2,AMRITSAR,487,Independent,2,S19,PUNJAB,489,0.06
SANDEEP SINGH,2,AMRITSAR,1017,Independent,2,S19,PUNJAB,1019,0.12
SHAM LAL GANDHIWADI,2,AMRITSAR,3250,Independent,1,S19,PUNJAB,3251,0.38
SUNIL KUMAR BHATTI,2,AMRITSAR,702,Independent,1,S19,PUNJAB,703,0.08
SUNIL KUMAR MATTU,2,AMRITSAR,3204,Independent,0,S19,PUNJAB,3204,0.37
SHUBHAM KUMAR,2,AMRITSAR,2310,Independent,1,S19,PUNJAB,2311,0.27
SUMAN SINGH,2,AMRITSAR,433,Independent,0,S19,PUNJAB,433,0.05
SURJIT SINGH,2,AMRITSAR,1607,Independent,2,S19,PUNJAB,1609,0.19
HARJINDER SINGH,2,AMRITSAR,539,Independent,2,S19,PUNJAB,541,0.06
KASHMIR SINGH,2,AMRITSAR,467,Independent,2,S19,PUNJAB,469,0.05
KABAL SINGH,2,AMRITSAR,258,Independent,2,S19,PUNJAB,260,0.03
GAUTAM,2,AMRITSAR,380,Independent,1,S19,PUNJAB,381,0.04
CHAND KUMAR,2,AMRITSAR,233,Independent,2,S19,PUNJAB,235,0.03
CHAIN SINGH BAINKA,2,AMRITSAR,445,Independent,2,S19,PUNJAB,447,0.05
JASPAL SINGH,2,AMRITSAR,271,Independent,0,S19,PUNJAB,271,0.03
BALWINDER SINGH,2,AMRITSAR,334,Independent,1,S19,PUNJAB,335,0.04
BAL KRISHAN,2,AMRITSAR,598,Independent,2,S19,PUNJAB,600,0.07
MOHINDER SINGH,2,AMRITSAR,899,Independent,2,S19,PUNJAB,901,0.1
MOHINDER SINGH NAMDHARI,2,AMRITSAR,586,Independent,1,S19,PUNJAB,587,0.07
SODHI VIKRAM SINGH,6,ANANDPUR SAHIB,146077,Bahujan Samaj Party,364,S19,PUNJAB,146441,13.54
NARINDER SINGH SHERGILL,6,ANANDPUR SAHIB,52539,Aam Aadmi Party,513,S19,PUNJAB,53052,4.9
PROFESSOR PREM SINGH CHANDUMAJRA,6,ANANDPUR SAHIB,379552,Shiromani Akali Dal,1609,S19,PUNJAB,381161,35.24
MANISH TEWARI,6,ANANDPUR SAHIB,426904,Indian National Congress,1141,S19,PUNJAB,428045,39.57
RAGHUNATH SINGH,6,ANANDPUR SAHIB,10638,Communist Party of India  (Marxist),27,S19,PUNJAB,10665,0.99
ASHWANI KUMAR,6,ANANDPUR SAHIB,1707,Hindustan Shakti Sena,25,S19,PUNJAB,1732,0.16
DR. SUKHDEEP KAUR,6,ANANDPUR SAHIB,942,Janral Samaj Party,86,S19,PUNJAB,1028,0.1
SURINDER KAUR MANGAT,6,ANANDPUR SAHIB,1097,Rashtriya Janshakti Party (Secular),9,S19,PUNJAB,1106,0.1
HARMESH SHARMA,6,ANANDPUR SAHIB,910,Jai Jawan Jai Kisan Party,21,S19,PUNJAB,931,0.09
KAWALJEET SINGH,6,ANANDPUR SAHIB,866,Hind Congress Party,36,S19,PUNJAB,902,0.08
KULWINDER KAUR,6,ANANDPUR SAHIB,1911,Ambedkarite Party of India,18,S19,PUNJAB,1929,0.18
GURBINDER SINGH SONU,6,ANANDPUR SAHIB,1516,Peoples Party of India (Democratic),6,S19,PUNJAB,1522,0.14
JODH SINGH THANDI,6,ANANDPUR SAHIB,2904,Bhartiya Lok Seva Dal,17,S19,PUNJAB,2921,0.27
FAQIR CHAND,6,ANANDPUR SAHIB,2397,Shivsena,68,S19,PUNJAB,2465,0.23
BIR DEVINDER SINGH,6,ANANDPUR SAHIB,10315,Shiromani Akali Dal (Taksali),109,S19,PUNJAB,10424,0.96
BARGAVA REDDY D,6,ANANDPUR SAHIB,2820,Pyramid Party of India,4,S19,PUNJAB,2824,0.26
AVTAR SINGH,6,ANANDPUR SAHIB,3637,Independent,9,S19,PUNJAB,3646,0.34
ASHISH GARG,6,ANANDPUR SAHIB,2782,Independent,2,S19,PUNJAB,2784,0.26
SUNAINA,6,ANANDPUR SAHIB,1882,Independent,30,S19,PUNJAB,1912,0.18
KIRPAL KAUR,6,ANANDPUR SAHIB,2141,Independent,30,S19,PUNJAB,2171,0.2
CHARAN DASS,6,ANANDPUR SAHIB,958,Independent,2,S19,PUNJAB,960,0.09
JAGNEET SINGH BALSUAN,6,ANANDPUR SAHIB,1114,Independent,3,S19,PUNJAB,1117,0.1
DR. PARAMJEET SINGH RANU,6,ANANDPUR SAHIB,1313,Independent,3,S19,PUNJAB,1316,0.12
MANMOHAN SINGH,6,ANANDPUR SAHIB,1381,Independent,1,S19,PUNJAB,1382,0.13
RAKESH KUMAR,6,ANANDPUR SAHIB,1008,Independent,3,S19,PUNJAB,1011,0.09
VIKRAM SINGH JOHN,6,ANANDPUR SAHIB,1141,Independent,4,S19,PUNJAB,1145,0.11
AMRINDER SINGH RAJA WARRING,11,BATHINDA,469412,Indian National Congress,1640,S19,PUNJAB,471052,39.23
HARSIMRAT KAUR BADAL,11,BATHINDA,490811,Shiromani Akali Dal,2013,S19,PUNJAB,492824,41.04
PROF. BALJINDER KAUR,11,BATHINDA,133728,Aam Aadmi Party,670,S19,PUNJAB,134398,11.19
SWARN SINGH DHALIWAL,11,BATHINDA,5082,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),24,S19,PUNJAB,5106,0.43
SUKHCHAIN SINGH BHARGAV,11,BATHINDA,1777,Hindustan Shakti Sena,17,S19,PUNJAB,1794,0.15
SUKHPAL SINGH KHAIRA,11,BATHINDA,37854,Punjab Ekta Party,345,S19,PUNJAB,38199,3.18
GURSEWAK SINGH,11,BATHINDA,3777,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),43,S19,PUNJAB,3820,0.32
GURMEET SINGH INSA,11,BATHINDA,678,Punjab Labour Party,14,S19,PUNJAB,692,0.06
DR. JAGSIR SINGH MRAR,11,BATHINDA,1047,Bahujan Mukti Party,19,S19,PUNJAB,1066,0.09
RTD. SUBEDAR MAJOR JAGDEV SINGH RAIPUR,11,BATHINDA,1737,Bhartiya Lok Seva Dal,28,S19,PUNJAB,1765,0.15
BALJINDER KUMAR SANGILA,11,BATHINDA,1394,Socialist Party (India),12,S19,PUNJAB,1406,0.12
BHAGWANT SINGH SAMAON,11,BATHINDA,5372,Communist Party of India  (Marxist-Leninist)  (Liberation),9,S19,PUNJAB,5381,0.45
BHUPINDER SINGH BHAINDA WARING,11,BATHINDA,1298,Samaj Adhikar Kalyan Party,4,S19,PUNJAB,1302,0.11
AMRIK SINGH,11,BATHINDA,1664,Independent,12,S19,PUNJAB,1676,0.14
SANDEEP KUMAR,11,BATHINDA,2726,Independent,5,S19,PUNJAB,2731,0.23
SURJEET SINGH,11,BATHINDA,5869,Independent,3,S19,PUNJAB,5872,0.49
HARPAL SINGH,11,BATHINDA,4626,Independent,1,S19,PUNJAB,4627,0.39
KARTAR SINGH,11,BATHINDA,2978,Independent,0,S19,PUNJAB,2978,0.25
GURCHARAN SINGH,11,BATHINDA,1484,Independent,1,S19,PUNJAB,1485,0.12
GURMAIL SINGH,11,BATHINDA,800,Independent,4,S19,PUNJAB,804,0.07
TEJA SINGH,11,BATHINDA,1446,Independent,2,S19,PUNJAB,1448,0.12
NAHAR SINGH,11,BATHINDA,956,Independent,4,S19,PUNJAB,960,0.08
BHOLA SINGH SAHOTA,11,BATHINDA,882,Independent,2,S19,PUNJAB,884,0.07
MANJIT KAUR,11,BATHINDA,1067,Independent,5,S19,PUNJAB,1072,0.09
RANVEER SINGH RANA,11,BATHINDA,911,Independent,2,S19,PUNJAB,913,0.08
PROF. LAKHBIR SINGH,11,BATHINDA,1145,Independent,9,S19,PUNJAB,1154,0.1
VEERPAL KAUR,11,BATHINDA,2069,Independent,9,S19,PUNJAB,2078,0.17
PROF. SADHU SINGH,9,FARIDKOT,114610,Aam Aadmi Party,709,S19,PUNJAB,115319,11.83
GULZAR SINGH RANIKE,9,FARIDKOT,334674,Shiromani Akali Dal,1135,S19,PUNJAB,335809,34.44
DR. DALJIT SINGH CHAUHAN,9,FARIDKOT,3407,Nationalist Congress Party,178,S19,PUNJAB,3585,0.37
MOHAMMAD SADIQUE,9,FARIDKOT,417936,Indian National Congress,1129,S19,PUNJAB,419065,42.98
OM PARKASH,9,FARIDKOT,2757,Bhartiya Janraj Party,278,S19,PUNJAB,3035,0.31
AJAY KUMAR,9,FARIDKOT,6094,Indian Democratic Republican Front,12,S19,PUNJAB,6106,0.63
AMANDEEP KAUR,9,FARIDKOT,1231,Peoples Party of India (Democratic),59,S19,PUNJAB,1290,0.13
DR. SWARN SINGH,9,FARIDKOT,3663,Apna Samaj Party,15,S19,PUNJAB,3678,0.38
SUKHDEV SINGH,9,FARIDKOT,1780,Hindustan Shakti Sena,5,S19,PUNJAB,1785,0.18
CHANAN SINGH WATTU,9,FARIDKOT,1296,Bahujan Mukti Party,17,S19,PUNJAB,1313,0.13
PARMINDER SINGH,9,FARIDKOT,799,Bharat Prabhat Party,11,S19,PUNJAB,810,0.08
MASTER BALDEV SINGH,9,FARIDKOT,43794,Punjab Ekta Party,138,S19,PUNJAB,43932,4.51
BHOLA SINGH,9,FARIDKOT,3455,Bhartiya Lok Seva Dal,7,S19,PUNJAB,3462,0.36
RAJINDER KAUR SAFRI,9,FARIDKOT,2128,Rashtriya Janshakti Party (Secular),10,S19,PUNJAB,2138,0.22
VEERPAL KAUR,9,FARIDKOT,1765,Samaj Adhikar Kalyan Party,20,S19,PUNJAB,1785,0.18
JASWINDER SINGH,9,FARIDKOT,4909,Independent,3,S19,PUNJAB,4912,0.5
JAGMEET SINGH,9,FARIDKOT,2089,Independent,2,S19,PUNJAB,2091,0.21
DARSHAN SINGH,9,FARIDKOT,2052,Independent,2,S19,PUNJAB,2054,0.21
NANAK SINGH CHAUHAN,9,FARIDKOT,1404,Independent,11,S19,PUNJAB,1415,0.15
BADAL SINGH,9,FARIDKOT,2113,Independent,4,S19,PUNJAB,2117,0.22
AMAR SINGH,8,FATEHGARH SAHIB,410723,Indian National Congress,928,S19,PUNJAB,411651,41.75
DARBARA SINGH GURU,8,FATEHGARH SAHIB,316999,Shiromani Akali Dal,754,S19,PUNJAB,317753,32.23
BANDEEP SINGH,8,FATEHGARH SAHIB,62553,Aam Aadmi Party,328,S19,PUNJAB,62881,6.38
ASHOK KUMAR,8,FATEHGARH SAHIB,3285,Rashtriya Lokswaraj Party,11,S19,PUNJAB,3296,0.33
SURJIT SINGH KANG,8,FATEHGARH SAHIB,3433,Bhartiya Lok Seva Dal,36,S19,PUNJAB,3469,0.35
HARCHAND SINGH,8,FATEHGARH SAHIB,1730,Revolutionary Socialist Party,3,S19,PUNJAB,1733,0.18
KAMALJEET SINGH,8,FATEHGARH SAHIB,2352,Democratic Party of India (Ambedkar),35,S19,PUNJAB,2387,0.24
GURJIT SINGH,8,FATEHGARH SAHIB,935,Sarvjan Sewa Party,7,S19,PUNJAB,942,0.1
GURBACHAN SINGH,8,FATEHGARH SAHIB,1302,Samaj Adhikar Kalyan Party,8,S19,PUNJAB,1310,0.13
BALWINDER KAUR,8,FATEHGARH SAHIB,1262,Jai Jawan Jai Kisan Party,27,S19,PUNJAB,1289,0.13
MANWINDER SINGH GIASPURA,8,FATEHGARH SAHIB,142072,Lok Insaaf Party,202,S19,PUNJAB,142274,14.43
RAM SINGH RAISAL,8,FATEHGARH SAHIB,1932,Ambedkarite Party of India,7,S19,PUNJAB,1939,0.2
VINOD KUMAR,8,FATEHGARH SAHIB,1102,Bharat Prabhat Party,20,S19,PUNJAB,1122,0.11
KARANDEEP SINGH,8,FATEHGARH SAHIB,1044,Independent,0,S19,PUNJAB,1044,0.11
KULDEEP SINGH SAHOTA,8,FATEHGARH SAHIB,4694,Independent,5,S19,PUNJAB,4699,0.48
GURCHARAN SINGH MACHHIWARA,8,FATEHGARH SAHIB,4972,Independent,14,S19,PUNJAB,4986,0.51
ADVOCATE PRABHJOT SINGH,8,FATEHGARH SAHIB,3939,Independent,3,S19,PUNJAB,3942,0.4
PREM SINGH MOHANPUR,8,FATEHGARH SAHIB,2554,Independent,5,S19,PUNJAB,2559,0.26
BALKAR SINGH,8,FATEHGARH SAHIB,1858,Independent,3,S19,PUNJAB,1861,0.19
LACHHMAN SINGH,8,FATEHGARH SAHIB,1760,Independent,6,S19,PUNJAB,1766,0.18
SUKHBIR SINGH BADAL,10,FIROZPUR,631100,Shiromani Akali Dal,2327,S19,PUNJAB,633427,54.05
SHER SINGH GHUBAYA,10,FIROZPUR,432964,Indian National Congress,1613,S19,PUNJAB,434577,37.08
HANS RAJ GOLDEN,10,FIROZPUR,25967,Communist Party of India,161,S19,PUNJAB,26128,2.23
HARJINDER SINGH KAKA SRAN,10,FIROZPUR,31240,Aam Aadmi Party,632,S19,PUNJAB,31872,2.72
SUNNY BAWA,10,FIROZPUR,1056,Akhil Bhartiya Apna Dal,16,S19,PUNJAB,1072,0.09
SUKHJIT SINGH,10,FIROZPUR,1580,Bhartiya Lok Seva Dal,46,S19,PUNJAB,1626,0.14
HARMANDER SINGH,10,FIROZPUR,518,Samaj Adhikar Kalyan Party,5,S19,PUNJAB,523,0.04
NARESH KUMAR,10,FIROZPUR,1758,Hindustan Shakti Sena,3,S19,PUNJAB,1761,0.15
BALWANT SINGH KHALSA,10,FIROZPUR,1185,Janral Samaj Party,9,S19,PUNJAB,1194,0.1
MADAN LAL,10,FIROZPUR,947,Republican Party of India (Reformist),5,S19,PUNJAB,952,0.08
SATNAM SINGH SON OF GURDEEP SINGH,10,FIROZPUR,747,Independent,3,S19,PUNJAB,750,0.06
SATNAM SINGH SON OF BALWANT SINGH,10,FIROZPUR,900,Independent,9,S19,PUNJAB,909,0.08
SUSHIL KUMAR,10,FIROZPUR,817,Independent,7,S19,PUNJAB,824,0.07
SURJIT SINGH,10,FIROZPUR,1032,Independent,2,S19,PUNJAB,1034,0.09
KASHMIR SINGH,10,FIROZPUR,2386,Independent,1,S19,PUNJAB,2387,0.2
KULDEEP SINGH,10,FIROZPUR,5088,Independent,4,S19,PUNJAB,5092,0.43
JATINDER SINGH THIND,10,FIROZPUR,6791,Independent,13,S19,PUNJAB,6804,0.58
PARWINDER SINGH,10,FIROZPUR,2404,Independent,0,S19,PUNJAB,2404,0.21
PALA SINGH,10,FIROZPUR,963,Independent,1,S19,PUNJAB,964,0.08
BALKAR SINGH,10,FIROZPUR,1411,Independent,0,S19,PUNJAB,1411,0.12
BUTA RAM GULATI,10,FIROZPUR,697,Independent,3,S19,PUNJAB,700,0.06
MANOJ KUMAR,10,FIROZPUR,730,Independent,1,S19,PUNJAB,731,0.06
SUNNY DEOL,1,GURDASPUR,551177,Bharatiya Janata Party,7542,S19,PUNJAB,558719,50.61
SUNIL JAKHAR,1,GURDASPUR,474168,Indian National Congress,2092,S19,PUNJAB,476260,43.14
PETER MASIH,1,GURDASPUR,27401,Aam Aadmi Party,343,S19,PUNJAB,27744,2.51
ASHWANI KUMAR HAPPY,1,GURDASPUR,2422,Communist Party of India  (Marxist-Leninist)  (Liberation),47,S19,PUNJAB,2469,0.22
JASBIR SINGH,1,GURDASPUR,714,Bahujan Samaj Party  (Ambedkar),87,S19,PUNJAB,801,0.07
PRITAM SINGH BHATTI,1,GURDASPUR,1173,Janral Samaj Party,68,S19,PUNJAB,1241,0.11
MANGAL SINGH,1,GURDASPUR,463,Democratic Party of India,36,S19,PUNJAB,499,0.05
YASH PAUL,1,GURDASPUR,643,Bahujan Mukti Party,23,S19,PUNJAB,666,0.06
LAL CHAND KATARU CHAK,1,GURDASPUR,15210,Revolutionary Marxist Party of India,64,S19,PUNJAB,15274,1.38
AMANDEEP SINGH GHOTRA,1,GURDASPUR,880,Independent,8,S19,PUNJAB,888,0.08
SUKRIT SHARDA,1,GURDASPUR,1795,Independent,6,S19,PUNJAB,1801,0.16
HARPREET SINGH,1,GURDASPUR,772,Independent,28,S19,PUNJAB,800,0.07
KARAM SINGH,1,GURDASPUR,1053,Independent,12,S19,PUNJAB,1065,0.1
KASIM DEEN,1,GURDASPUR,3130,Independent,6,S19,PUNJAB,3136,0.28
PARAMPREET SINGH,1,GURDASPUR,2953,Independent,11,S19,PUNJAB,2964,0.27
SOM PARKASH,5,HOSHIARPUR,416711,Bharatiya Janata Party,4609,S19,PUNJAB,421320,42.52
KHUSHI RAM,5,HOSHIARPUR,128215,Bahujan Samaj Party,349,S19,PUNJAB,128564,12.98
DR. RAVJOT SINGH,5,HOSHIARPUR,44207,Aam Aadmi Party,707,S19,PUNJAB,44914,4.53
DR. RAJ KUMAR CHABBEWAL,5,HOSHIARPUR,369719,Indian National Congress,3071,S19,PUNJAB,372790,37.63
DHARAM PAL,5,HOSHIARPUR,2895,Nationalist Justice Party,7,S19,PUNJAB,2902,0.29
PARAMJIT SINGH (FAUJI BOOTHGARH),5,HOSHIARPUR,2845,Samaj Bhalai Morcha,72,S19,PUNJAB,2917,0.29
TILAK RAJ (VAID),5,HOSHIARPUR,2256,Independent,8,S19,PUNJAB,2264,0.23
DAVINDER SINGH,5,HOSHIARPUR,2239,Independent,13,S19,PUNJAB,2252,0.23
SANTOKH SINGH CHAUDHARY,4,JALANDHAR,385449,Indian National Congress,263,S19,PUNJAB,385712,37.85
CHARANJIT SINGH ATWAL,4,JALANDHAR,365934,Shiromani Akali Dal,287,S19,PUNJAB,366221,35.94
JUSTICE (RETD.) JORA SINGH,4,JALANDHAR,25382,Aam Aadmi Party,85,S19,PUNJAB,25467,2.5
BALWINDER KUMAR,4,JALANDHAR,204712,Bahujan Samaj Party,71,S19,PUNJAB,204783,20.1
URMILLA,4,JALANDHAR,1330,Ambedkar National Congress,10,S19,PUNJAB,1340,0.13
SUBHASH GORIA,4,JALANDHAR,2443,Shivsena,27,S19,PUNJAB,2470,0.24
HARI MITTER,4,JALANDHAR,1188,Peoples Party of India (Democratic),3,S19,PUNJAB,1191,0.12
GURUPAL SINGH,4,JALANDHAR,492,Bharat Prabhat Party,8,S19,PUNJAB,500,0.05
JAGAN NATH BAJWA,4,JALANDHAR,1428,Hum Bhartiya Party,2,S19,PUNJAB,1430,0.14
TARA SINGH GILL,4,JALANDHAR,2458,Bahujan Samaj Party  (Ambedkar),5,S19,PUNJAB,2463,0.24
PARKASH CHAND JASSAL,4,JALANDHAR,683,Republican Party of India (A),1,S19,PUNJAB,684,0.07
BALJINDER SODHI,4,JALANDHAR,845,Nationalist Justice Party,0,S19,PUNJAB,845,0.08
RAMESH LAL KALA,4,JALANDHAR,921,Bahujan Mukti Party,0,S19,PUNJAB,921,0.09
OPKAR SINGH BAKHSHI,4,JALANDHAR,1087,Independent,1,S19,PUNJAB,1088,0.11
AMRISH KUMAR,4,JALANDHAR,1591,Independent,0,S19,PUNJAB,1591,0.16
SUKHDEV SINGH,4,JALANDHAR,3154,Independent,0,S19,PUNJAB,3154,0.31
KASHMIR SINGH GHUGSHORE,4,JALANDHAR,4099,Independent,1,S19,PUNJAB,4100,0.4
VALMIKACHARAYA NITYA ANAND,4,JALANDHAR,1856,Independent,2,S19,PUNJAB,1858,0.18
NEETU SHUTTERAN WALA,4,JALANDHAR,856,Independent,0,S19,PUNJAB,856,0.08
JASBIR SINGH GILL (DIMPA),3,KHADOOR SAHIB,457990,Indian National Congress,1720,S19,PUNJAB,459710,43.95
BIBI JAGIR KAUR,3,KHADOOR SAHIB,317690,Shiromani Akali Dal,1447,S19,PUNJAB,319137,30.51
MANJINDER SINGH SIDHU,3,KHADOOR SAHIB,13155,Aam Aadmi Party,501,S19,PUNJAB,13656,1.31
STEPHEN BHATTI,3,KHADOOR SAHIB,1891,Shivsena,348,S19,PUNJAB,2239,0.21
SANTOKH SINGH (SUKH),3,KHADOOR SAHIB,2495,Hindustan Shakti Sena,46,S19,PUNJAB,2541,0.24
SURJIT SINGH,3,KHADOOR SAHIB,941,Shiromani Lok Dal Party,43,S19,PUNJAB,984,0.09
KHAJAN SINGH,3,KHADOOR SAHIB,1438,Nationalist Justice Party,18,S19,PUNJAB,1456,0.14
PARAMJIT KAUR KHALRA,3,KHADOOR SAHIB,213550,Punjab Ekta Party,939,S19,PUNJAB,214489,20.51
PARWINDER SINGH,3,KHADOOR SAHIB,1682,Democratic Party of India (Ambedkar),45,S19,PUNJAB,1727,0.17
PURAN SINGH SHEIKH,3,KHADOOR SAHIB,2366,Bahujan Samaj Party  (Ambedkar),86,S19,PUNJAB,2452,0.23
ONKAR SINGH UPPAL,3,KHADOOR SAHIB,1145,Independent,16,S19,PUNJAB,1161,0.11
